"Labor force data by county, not seasonally adjusted, February 2020-March 2021(p)",,,,,,,,
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
                 ,  FIPS Codes  ,                                          ,           ,  Civilian  ,            ,     Unemployed,,
 CN0110500000000 ,1,105," Perry County, AL                         ",   Feb-20  ,"3,290","3,134",156,4.7
 CN0110700000000 ,1,107," Pickens County, AL                       ",   Feb-20  ,"7,971","7,711",260,3.3
 CN0110900000000 ,1,109," Pike County, AL                          ",   Feb-20  ,"15,518","15,094",424,2.7
 CN0111100000000 ,1,111," Randolph County, AL                      ",   Feb-20  ,"9,579","9,314",265,2.8
 CN0111300000000 ,1,113," Russell County, AL                       ",   Feb-20  ,"23,889","23,251",638,2.7
 CN0111500000000 ,1,115," St. Clair County, AL                     ",   Feb-20  ,"40,533","39,551",982,2.4
 CN0111700000000 ,1,117," Shelby County, AL                        ",   Feb-20  ,"115,965","113,686","2,279",2
 CN0111900000000 ,1,119," Sumter County, AL                        ",   Feb-20  ,"4,637","4,455",182,3.9
 CN0112100000000 ,1,121," Talladega County, AL                     ",   Feb-20  ,"35,734","34,594","1,140",3.2
 CN0112300000000 ,1,123," Tallapoosa County, AL                    ",   Feb-20  ,"17,897","17,394",503,2.8
 CN0112500000000 ,1,125," Tuscaloosa County, AL                    ",   Feb-20  ,"105,346","102,923","2,423",2.3
 CN0112700000000 ,1,127," Walker County, AL                        ",   Feb-20  ,"25,079","24,284",795,3.2
 CN0112900000000 ,1,129," Washington County, AL                    ",   Feb-20  ,"6,691","6,382",309,4.6
 CN0113100000000 ,1,131," Wilcox County, AL                        ",   Feb-20  ,"2,725","2,500",225,8.3
 CN0113300000000 ,1,133," Winston County, AL                       ",   Feb-20  ,"10,217","9,905",312,3.1
 CN0201300000000 ,2,13," Aleutians East Borough, AK               ",   Feb-20  ,"3,224","3,167",57,1.8
 CN0201600000000 ,2,16," Aleutians West Census Area, AK           ",   Feb-20  ,"5,081","4,997",84,1.7
 CN0202000000000 ,2,20," Anchorage Borough/municipality, AK       ",   Feb-20  ,"148,989","143,088","5,901",4
 CN0205000000000 ,2,50," Bethel Census Area, AK                   ",   Feb-20  ,"7,286","6,493",793,10.9
 CN0206000000000 ,2,60," Bristol Bay Borough, AK                  ",   Feb-20  ,237,204,33,13.9
 CN0206800000000 ,2,68," Denali Borough, AK                       ",   Feb-20  ,588,493,95,16.2
 CN0207000000000 ,2,70," Dillingham Census Area, AK               ",   Feb-20  ,"1,679","1,559",120,7.1
 CN0209000000000 ,2,90," Fairbanks North Star Borough, AK         ",   Feb-20  ,"45,017","43,055","1,962",4.4
 CN0210000000000 ,2,100," Haines Borough, AK                       ",   Feb-20  ,925,794,131,14.2
 CN0210500000000 ,2,105," Hoonah-Angoon Census Area, AK            ",   Feb-20  ,"1,010",857,153,15.1
 CN0211000000000 ,2,110," Juneau Borough/city, AK                  ",   Feb-20  ,"16,577","15,979",598,3.6
 CN0212200000000 ,2,122," Kenai Peninsula Borough, AK              ",   Feb-20  ,"25,685","24,036","1,649",6.4
 CN0213000000000 ,2,130," Ketchikan Gateway Borough, AK            ",   Feb-20  ,"6,339","5,923",416,6.6
 CN0215000000000 ,2,150," Kodiak Island Borough, AK                ",   Feb-20  ,"6,175","5,936",239,3.9
 CN0215800000000 ,2,158," Kusilvak Census Area, AK                 ",   Feb-20  ,"2,390","1,916",474,19.8
 CN0216400000000 ,2,164," Lake and Peninsula Borough, AK           ",   Feb-20  ,576,516,60,10.4
 CN0217000000000 ,2,170," Matanuska-Susitna Borough, AK            ",   Feb-20  ,"48,500","45,638","2,862",5.9
 CN0218000000000 ,2,180," Nome Census Area, AK                     ",   Feb-20  ,"4,082","3,693",389,9.5
 CN0218500000000 ,2,185," North Slope Borough, AK                  ",   Feb-20  ,"3,900","3,739",161,4.1
 CN0218800000000 ,2,188," Northwest Arctic Borough, AK             ",   Feb-20  ,"2,943","2,578",365,12.4
 CN0219500000000 ,2,195," Petersburg Borough, AK                   ",   Feb-20  ,"1,396","1,285",111,8
 CN0219800000000 ,2,198," Prince of Wales-Hyder Census Area, AK    ",   Feb-20  ,"2,718","2,474",244,9
 CN0222000000000 ,2,220," Sitka Borough/city, AK                   ",   Feb-20  ,"3,951","3,798",153,3.9
 CN0223000000000 ,2,230," Skagway Municipality, AK                 ",   Feb-20  ,553,437,116,21
 CN0224000000000 ,2,240," Southeast Fairbanks Census Area, AK      ",   Feb-20  ,"2,911","2,672",239,8.2
 CN0226100000000 ,2,261," Valdez-Cordova Census Area, AK           ",   Feb-20  ,"4,083","3,663",420,10.3
 CN0227500000000 ,2,275," Wrangell Borough/city, AK                ",   Feb-20  ,989,922,67,6.8
 CN0228200000000 ,2,282," Yakutat Borough/city, AK                 ",   Feb-20  ,262,236,26,9.9
 CN0229000000000 ,2,290," Yukon-Koyukuk Census Area, AK            ",   Feb-20  ,"2,343","2,032",311,13.3
 CN0400100000000 ,4,1," Apache County, AZ                        ",   Feb-20  ,"20,710","18,551","2,159",10.4
 CN0400300000000 ,4,3," Cochise County, AZ                       ",   Feb-20  ,"51,765","48,933","2,832",5.5
 CN0400500000000 ,4,5," Coconino County, AZ                      ",   Feb-20  ,"76,899","72,265","4,634",6
 CN0400700000000 ,4,7," Gila County, AZ                          ",   Feb-20  ,"20,736","19,551","1,185",5.7
 CN0400900000000 ,4,9," Graham County, AZ                        ",   Feb-20  ,"16,037","15,262",775,4.8
 CN0401100000000 ,4,11," Greenlee County, AZ                      ",   Feb-20  ,"4,536","4,367",169,3.7
 CN0401200000000 ,4,12," La Paz County, AZ                        ",   Feb-20  ,"9,438","8,876",562,6
 CN0401300000000 ,4,13," Maricopa County, AZ                      ",   Feb-20  ,"2,345,084","2,252,395","92,689",4
 CN0401500000000 ,4,15," Mohave County, AZ                        ",   Feb-20  ,"88,057","83,027","5,030",5.7
 CN0401700000000 ,4,17," Navajo County, AZ                        ",   Feb-20  ,"40,026","36,850","3,176",7.9
 CN0401900000000 ,4,19," Pima County, AZ                          ",   Feb-20  ,"503,706","481,702","22,004",4.4
 CN0402100000000 ,4,21," Pinal County, AZ                         ",   Feb-20  ,"193,833","184,511","9,322",4.8
 CN0402300000000 ,4,23," Santa Cruz County, AZ                    ",   Feb-20  ,"19,887","18,429","1,458",7.3
 CN0402500000000 ,4,25," Yavapai County, AZ                       ",   Feb-20  ,"106,946","102,243","4,703",4.4
 CN0402700000000 ,4,27," Yuma County, AZ                          ",   Feb-20  ,"99,384","87,197","12,187",12.3
 CN0500100000000 ,5,1," Arkansas County, AR                      ",   Feb-20  ,"9,536","9,214",322,3.4
 CN0500300000000 ,5,3," Ashley County, AR                        ",   Feb-20  ,"7,264","6,702",562,7.7
 CN0500500000000 ,5,5," Baxter County, AR                        ",   Feb-20  ,"16,551","15,826",725,4.4
 CN0500700000000 ,5,7," Benton County, AR                        ",   Feb-20  ,"142,134","138,064","4,070",2.9
 CN0500900000000 ,5,9," Boone County, AR                         ",   Feb-20  ,"16,092","15,503",589,3.7
 CN0501100000000 ,5,11," Bradley County, AR                       ",   Feb-20  ,"4,492","4,292",200,4.5
 CN0501300000000 ,5,13," Calhoun County, AR                       ",   Feb-20  ,"2,472","2,343",129,5.2
 CN0501500000000 ,5,15," Carroll County, AR                       ",   Feb-20  ,"12,663","12,145",518,4.1
 CN0501700000000 ,5,17," Chicot County, AR                        ",   Feb-20  ,"3,250","2,958",292,9
 CN0501900000000 ,5,19," Clark County, AR                         ",   Feb-20  ,"9,527","9,148",379,4
 CN0502100000000 ,5,21," Clay County, AR                          ",   Feb-20  ,"5,632","5,292",340,6
 CN0502300000000 ,5,23," Cleburne County, AR                      ",   Feb-20  ,"9,194","8,668",526,5.7
 CN0502500000000 ,5,25," Cleveland County, AR                     ",   Feb-20  ,"3,242","3,080",162,5
 CN0502700000000 ,5,27," Columbia County, AR                      ",   Feb-20  ,"9,200","8,760",440,4.8
 CN0502900000000 ,5,29," Conway County, AR                        ",   Feb-20  ,"8,426","8,021",405,4.8
 CN0503100000000 ,5,31," Craighead County, AR                     ",   Feb-20  ,"56,439","54,685","1,754",3.1
 CN0503300000000 ,5,33," Crawford County, AR                      ",   Feb-20  ,"26,695","25,680","1,015",3.8
 CN0503500000000 ,5,35," Crittenden County, AR                    ",   Feb-20  ,"21,184","20,212",972,4.6
 CN0503700000000 ,5,37," Cross County, AR                         ",   Feb-20  ,"7,488","7,143",345,4.6
 CN0503900000000 ,5,39," Dallas County, AR                        ",   Feb-20  ,"2,806","2,662",144,5.1
 CN0504100000000 ,5,41," Desha County, AR                         ",   Feb-20  ,"5,464","5,179",285,5.2
 CN0504300000000 ,5,43," Drew County, AR                          ",   Feb-20  ,"7,923","7,433",490,6.2
 CN0504500000000 ,5,45," Faulkner County, AR                      ",   Feb-20  ,"63,040","60,884","2,156",3.4
 CN0504700000000 ,5,47," Franklin County, AR                      ",   Feb-20  ,"7,495","7,199",296,3.9
 CN0504900000000 ,5,49," Fulton County, AR                        ",   Feb-20  ,"5,036","4,814",222,4.4
 CN0505100000000 ,5,51," Garland County, AR                       ",   Feb-20  ,"41,513","39,792","1,721",4.1
 CN0505300000000 ,5,53," Grant County, AR                         ",   Feb-20  ,"8,497","8,157",340,4
 CN0505500000000 ,5,55," Greene County, AR                        ",   Feb-20  ,"19,960","19,106",854,4.3
 CN0505700000000 ,5,57," Hempstead County, AR                     ",   Feb-20  ,"9,773","9,334",439,4.5
 CN0505900000000 ,5,59," Hot Spring County, AR                    ",   Feb-20  ,"14,277","13,729",548,3.8
 CN0506100000000 ,5,61," Howard County, AR                        ",   Feb-20  ,"5,640","5,413",227,4
 CN0506300000000 ,5,63," Independence County, AR                  ",   Feb-20  ,"16,872","16,123",749,4.4
 CN0506500000000 ,5,65," Izard County, AR                         ",   Feb-20  ,"4,720","4,383",337,7.1
 CN0506700000000 ,5,67," Jackson County, AR                       ",   Feb-20  ,"5,926","5,491",435,7.3
 CN0506900000000 ,5,69," Jefferson County, AR                     ",   Feb-20  ,"27,363","25,677","1,686",6.2
 CN0507100000000 ,5,71," Johnson County, AR                       ",   Feb-20  ,"10,416","9,940",476,4.6
 CN0507300000000 ,5,73," Lafayette County, AR                     ",   Feb-20  ,"2,429","2,299",130,5.4
 CN0507500000000 ,5,75," Lawrence County, AR                      ",   Feb-20  ,"6,972","6,642",330,4.7
 CN0507700000000 ,5,77," Lee County, AR                           ",   Feb-20  ,"2,836","2,652",184,6.5
 CN0507900000000 ,5,79," Lincoln County, AR                       ",   Feb-20  ,"3,907","3,693",214,5.5
 CN0508100000000 ,5,81," Little River County, AR                  ",   Feb-20  ,"5,523","5,230",293,5.3
 CN0508300000000 ,5,83," Logan County, AR                         ",   Feb-20  ,"8,710","8,291",419,4.8
 CN0508500000000 ,5,85," Lonoke County, AR                        ",   Feb-20  ,"34,438","33,136","1,302",3.8
 CN0508700000000 ,5,87," Madison County, AR                       ",   Feb-20  ,"7,606","7,393",213,2.8
 CN0508900000000 ,5,89," Marion County, AR                        ",   Feb-20  ,"6,446","6,126",320,5
 CN0509100000000 ,5,91," Miller County, AR                        ",   Feb-20  ,"19,603","18,715",888,4.5
 CN0509300000000 ,5,93," Mississippi County, AR                   ",   Feb-20  ,"17,637","16,579","1,058",6
 CN0509500000000 ,5,95," Monroe County, AR                        ",   Feb-20  ,"2,760","2,621",139,5
 CN0509700000000 ,5,97," Montgomery County, AR                    ",   Feb-20  ,"2,967","2,793",174,5.9
 CN0509900000000 ,5,99," Nevada County, AR                        ",   Feb-20  ,"3,577","3,421",156,4.4
 CN0510100000000 ,5,101," Newton County, AR                        ",   Feb-20  ,"3,354","3,207",147,4.4
 CN0510300000000 ,5,103," Ouachita County, AR                      ",   Feb-20  ,"9,905","9,346",559,5.6
 CN0510500000000 ,5,105," Perry County, AR                         ",   Feb-20  ,"4,325","4,133",192,4.4
 CN0510700000000 ,5,107," Phillips County, AR                      ",   Feb-20  ,"6,429","5,963",466,7.2
 CN0510900000000 ,5,109," Pike County, AR                          ",   Feb-20  ,"4,251","4,051",200,4.7
 CN0511100000000 ,5,111," Poinsett County, AR                      ",   Feb-20  ,"10,180","9,744",436,4.3
 CN0511300000000 ,5,113," Polk County, AR                          ",   Feb-20  ,"8,154","7,674",480,5.9
 CN0511500000000 ,5,115," Pope County, AR                          ",   Feb-20  ,"28,406","27,095","1,311",4.6
 CN0511700000000 ,5,117," Prairie County, AR                       ",   Feb-20  ,"3,679","3,515",164,4.5
 CN0511900000000 ,5,119," Pulaski County, AR                       ",   Feb-20  ,"190,047","182,540","7,507",4
 CN0512100000000 ,5,121," Randolph County, AR                      ",   Feb-20  ,"7,446","7,097",349,4.7
 CN0512300000000 ,5,123," St. Francis County, AR                   ",   Feb-20  ,"8,186","7,727",459,5.6
 CN0512500000000 ,5,125," Saline County, AR                        ",   Feb-20  ,"59,537","57,654","1,883",3.2
 CN0512700000000 ,5,127," Scott County, AR                         ",   Feb-20  ,"4,423","4,254",169,3.8
 CN0512900000000 ,5,129," Searcy County, AR                        ",   Feb-20  ,"2,849","2,673",176,6.2
 CN0513100000000 ,5,131," Sebastian County, AR                     ",   Feb-20  ,"56,317","54,183","2,134",3.8
 CN0513300000000 ,5,133," Sevier County, AR                        ",   Feb-20  ,"5,598","5,289",309,5.5
 CN0513500000000 ,5,135," Sharp County, AR                         ",   Feb-20  ,"5,760","5,413",347,6
 CN0513700000000 ,5,137," Stone County, AR                         ",   Feb-20  ,"4,620","4,350",270,5.8
 CN0513900000000 ,5,139," Union County, AR                         ",   Feb-20  ,"15,729","14,753",976,6.2
 CN0514100000000 ,5,141," Van Buren County, AR                     ",   Feb-20  ,"5,750","5,407",343,6
 CN0514300000000 ,5,143," Washington County, AR                    ",   Feb-20  ,"127,477","124,167","3,310",2.6
 CN0514500000000 ,5,145," White County, AR                         ",   Feb-20  ,"34,435","32,592","1,843",5.4
 CN0514700000000 ,5,147," Woodruff County, AR                      ",   Feb-20  ,"2,848","2,702",146,5.1
 CN0514900000000 ,5,149," Yell County, AR                          ",   Feb-20  ,"8,265","7,905",360,4.4
 CN0600100000000 ,6,1," Alameda County, CA                       ",   Feb-20  ,"842,129","817,367","24,762",2.9
 CN0600300000000 ,6,3," Alpine County, CA                        ",   Feb-20  ,628,596,32,5.1
 CN0600500000000 ,6,5," Amador County, CA                        ",   Feb-20  ,"14,788","14,141",647,4.4
 CN0600700000000 ,6,7," Butte County, CA                         ",   Feb-20  ,"96,992","91,799","5,193",5.4
 CN0600900000000 ,6,9," Calaveras County, CA                     ",   Feb-20  ,"21,605","20,711",894,4.1
 CN0601100000000 ,6,11," Colusa County, CA                        ",   Feb-20  ,"10,831","8,641","2,190",20.2
 CN0601300000000 ,6,13," Contra Costa County, CA                  ",   Feb-20  ,"560,042","542,722","17,320",3.1
 CN0601500000000 ,6,15," Del Norte County, CA                     ",   Feb-20  ,"9,541","8,947",594,6.2
 CN0601700000000 ,6,17," El Dorado County, CA                     ",   Feb-20  ,"92,523","89,173","3,350",3.6
 CN0601900000000 ,6,19," Fresno County, CA                        ",   Feb-20  ,"453,583","415,518","38,065",8.4
 CN0602100000000 ,6,21," Glenn County, CA                         ",   Feb-20  ,"13,128","12,201",927,7.1
 CN0602300000000 ,6,23," Humboldt County, CA                      ",   Feb-20  ,"61,764","59,396","2,368",3.8
 CN0602500000000 ,6,25," Imperial County, CA                      ",   Feb-20  ,"71,965","58,919","13,046",18.1
 CN0602700000000 ,6,27," Inyo County, CA                          ",   Feb-20  ,"8,608","8,271",337,3.9
 CN0602900000000 ,6,29," Kern County, CA                          ",   Feb-20  ,"389,747","354,184","35,563",9.1
 CN0603100000000 ,6,31," Kings County, CA                         ",   Feb-20  ,"58,063","52,391","5,672",9.8
 CN0603300000000 ,6,33," Lake County, CA                          ",   Feb-20  ,"28,921","27,250","1,671",5.8
 CN0603500000000 ,6,35," Lassen County, CA                        ",   Feb-20  ,"9,405","8,846",559,5.9
 CN0603700000000 ,6,37," Los Angeles County, CA                   ",   Feb-20  ,"5,218,494","4,972,506","245,988",4.7
 CN0603900000000 ,6,39," Madera County, CA                        ",   Feb-20  ,"64,246","59,179","5,067",7.9
 CN0604100000000 ,6,41," Marin County, CA                         ",   Feb-20  ,"137,921","134,670","3,251",2.4
 CN0604300000000 ,6,43," Mariposa County, CA                      ",   Feb-20  ,"7,496","7,051",445,5.9
 CN0604500000000 ,6,45," Mendocino County, CA                     ",   Feb-20  ,"38,218","36,442","1,776",4.6
 CN0604700000000 ,6,47," Merced County, CA                        ",   Feb-20  ,"116,772","104,873","11,899",10.2
 CN0604900000000 ,6,49," Modoc County, CA                         ",   Feb-20  ,"3,104","2,806",298,9.6
 CN0605100000000 ,6,51," Mono County, CA                          ",   Feb-20  ,"9,007","8,675",332,3.7
 CN0605300000000 ,6,53," Monterey County, CA                      ",   Feb-20  ,"212,684","191,137","21,547",10.1
 CN0605500000000 ,6,55," Napa County, CA                          ",   Feb-20  ,"72,503","70,181","2,322",3.2
 CN0605700000000 ,6,57," Nevada County, CA                        ",   Feb-20  ,"48,784","47,032","1,752",3.6
 CN0605900000000 ,6,59," Orange County, CA                        ",   Feb-20  ,"1,617,047","1,572,111","44,936",2.8
 CN0606100000000 ,6,61," Placer County, CA                        ",   Feb-20  ,"189,479","183,523","5,956",3.1
 CN0606300000000 ,6,63," Plumas County, CA                        ",   Feb-20  ,"7,482","6,677",805,10.8
 CN0606500000000 ,6,65," Riverside County, CA                     ",   Feb-20  ,"1,121,109","1,075,884","45,225",4
 CN0606700000000 ,6,67," Sacramento County, CA                    ",   Feb-20  ,"713,760","687,197","26,563",3.7
 CN0606900000000 ,6,69," San Benito County, CA                    ",   Feb-20  ,"32,545","30,609","1,936",5.9
 CN0607100000000 ,6,71," San Bernardino County, CA                ",   Feb-20  ,"980,397","943,781","36,616",3.7
 CN0607300000000 ,6,73," San Diego County, CA                     ",   Feb-20  ,"1,585,590","1,535,026","50,564",3.2
 CN0607500000000 ,6,75," San Francisco County/city, CA            ",   Feb-20  ,"583,926","570,813","13,113",2.2
 CN0607700000000 ,6,77," San Joaquin County, CA                   ",   Feb-20  ,"330,931","309,509","21,422",6.5
 CN0607900000000 ,6,79," San Luis Obispo County, CA               ",   Feb-20  ,"139,965","135,751","4,214",3
 CN0608100000000 ,6,81," San Mateo County, CA                     ",   Feb-20  ,"459,402","449,803","9,599",2.1
 CN0608300000000 ,6,83," Santa Barbara County, CA                 ",   Feb-20  ,"221,977","212,223","9,754",4.4
 CN0608500000000 ,6,85," Santa Clara County, CA                   ",   Feb-20  ,"1,055,175","1,028,347","26,828",2.5
 CN0608700000000 ,6,87," Santa Cruz County, CA                    ",   Feb-20  ,"139,667","130,729","8,938",6.4
 CN0608900000000 ,6,89," Shasta County, CA                        ",   Feb-20  ,"72,868","68,913","3,955",5.4
 CN0609100000000 ,6,91," Sierra County, CA                        ",   Feb-20  ,"1,308","1,218",90,6.9
 CN0609300000000 ,6,93," Siskiyou County, CA                      ",   Feb-20  ,"16,971","15,543","1,428",8.4
 CN0609500000000 ,6,95," Solano County, CA                        ",   Feb-20  ,"207,480","199,400","8,080",3.9
 CN0609700000000 ,6,97," Sonoma County, CA                        ",   Feb-20  ,"256,046","248,822","7,224",2.8
 CN0609900000000 ,6,99," Stanislaus County, CA                    ",   Feb-20  ,"242,289","226,490","15,799",6.5
 CN0610100000000 ,6,101," Sutter County, CA                        ",   Feb-20  ,"45,806","41,698","4,108",9
 CN0610300000000 ,6,103," Tehama County, CA                        ",   Feb-20  ,"25,968","24,382","1,586",6.1
 CN0610500000000 ,6,105," Trinity County, CA                       ",   Feb-20  ,"4,434","4,116",318,7.2
 CN0610700000000 ,6,107," Tulare County, CA                        ",   Feb-20  ,"205,976","182,650","23,326",11.3
 CN0610900000000 ,6,109," Tuolumne County, CA                      ",   Feb-20  ,"20,595","19,541","1,054",5.1
 CN0611100000000 ,6,111," Ventura County, CA                       ",   Feb-20  ,"423,480","407,935","15,545",3.7
 CN0611300000000 ,6,113," Yolo County, CA                          ",   Feb-20  ,"108,500","103,259","5,241",4.8
 CN0611500000000 ,6,115," Yuba County, CA                          ",   Feb-20  ,"30,415","28,294","2,121",7
 CN0800100000000 ,8,1," Adams County, CO                         ",   Feb-20  ,"276,716","267,878","8,838",3.2
 CN0800300000000 ,8,3," Alamosa County, CO                       ",   Feb-20  ,"8,360","8,024",336,4
 CN0800500000000 ,8,5," Arapahoe County, CO                      ",   Feb-20  ,"368,989","358,844","10,145",2.7
 CN0800700000000 ,8,7," Archuleta County, CO                     ",   Feb-20  ,"6,755","6,516",239,3.5
 CN0800900000000 ,8,9," Baca County, CO                          ",   Feb-20  ,"2,091","2,048",43,2.1
 CN0801100000000 ,8,11," Bent County, CO                          ",   Feb-20  ,"1,845","1,798",47,2.5
 CN0801300000000 ,8,13," Boulder County, CO                       ",   Feb-20  ,"198,994","194,289","4,705",2.4
 CN0801400000000 ,8,14," Broomfield County/city, CO               ",   Feb-20  ,"40,931","39,879","1,052",2.6
 CN0801500000000 ,8,15," Chaffee County, CO                       ",   Feb-20  ,"9,482","9,231",251,2.6
 CN0801700000000 ,8,17," Cheyenne County, CO                      ",   Feb-20  ,"1,097","1,080",17,1.5
 CN0801900000000 ,8,19," Clear Creek County, CO                   ",   Feb-20  ,"6,130","5,973",157,2.6
 CN0802100000000 ,8,21," Conejos County, CO                       ",   Feb-20  ,"4,084","3,903",181,4.4
 CN0802300000000 ,8,23," Costilla County, CO                      ",   Feb-20  ,"1,839","1,762",77,4.2
 CN0802500000000 ,8,25," Crowley County, CO                       ",   Feb-20  ,"1,524","1,456",68,4.5
 CN0802700000000 ,8,27," Custer County, CO                        ",   Feb-20  ,"2,061","1,997",64,3.1
 CN0802900000000 ,8,29," Delta County, CO                         ",   Feb-20  ,"14,017","13,441",576,4.1
 CN0803100000000 ,8,31," Denver County/city, CO                   ",   Feb-20  ,"424,776","412,964","11,812",2.8
