"Labor force data by county, not seasonally adjusted, February 2021-March 2022(p)",,,,,,,,
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
                 ,  FIPS Codes  ,                                          ,           ,  Civilian  ,            ,     Unemployed,,
  LAUS Area Code ,--------------,                Area Title                ,   Period  ,    Labor   ,  Employed  ,--------------------,,
                 , State, County,                                          ,           ,    Force   ,            ,   Level  ,   Rate
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
 CN0402300000000 ,4,23," Santa Cruz County, AZ                    ",   Feb-21  ,"19,260","17,468","1,792",9.3
 CN0402500000000 ,4,25," Yavapai County, AZ                       ",   Feb-21  ,"103,813","98,317","5,496",5.3
 CN0402700000000 ,4,27," Yuma County, AZ                          ",   Feb-21  ,"91,904","82,548","9,356",10.2
 CN0500100000000 ,5,1," Arkansas County, AR                      ",   Feb-21  ,"9,232","8,830",402,4.4
 CN0500300000000 ,5,3," Ashley County, AR                        ",   Feb-21  ,"6,911","6,253",658,9.5
 CN0500500000000 ,5,5," Baxter County, AR                        ",   Feb-21  ,"16,296","15,440",856,5.3
 CN0500700000000 ,5,7," Benton County, AR                        ",   Feb-21  ,"140,661","135,247","5,414",3.8
 CN0500900000000 ,5,9," Boone County, AR                         ",   Feb-21  ,"15,739","15,071",668,4.2
 CN0501100000000 ,5,11," Bradley County, AR                       ",   Feb-21  ,"4,218","3,968",250,5.9
 CN0501300000000 ,5,13," Calhoun County, AR                       ",   Feb-21  ,"2,411","2,294",117,4.9
 CN0501500000000 ,5,15," Carroll County, AR                       ",   Feb-21  ,"12,370","11,698",672,5.4
 CN0501700000000 ,5,17," Chicot County, AR                        ",   Feb-21  ,"3,142","2,793",349,11.1
 CN0501900000000 ,5,19," Clark County, AR                         ",   Feb-21  ,"8,868","8,369",499,5.6
 CN0502100000000 ,5,21," Clay County, AR                          ",   Feb-21  ,"5,389","5,064",325,6
 CN0502300000000 ,5,23," Cleburne County, AR                      ",   Feb-21  ,"8,876","8,285",591,6.7
 CN0502500000000 ,5,25," Cleveland County, AR                     ",   Feb-21  ,"3,141","2,972",169,5.4
 CN0502700000000 ,5,27," Columbia County, AR                      ",   Feb-21  ,"8,994","8,382",612,6.8
 CN0502900000000 ,5,29," Conway County, AR                        ",   Feb-21  ,"8,283","7,820",463,5.6
 CN0503100000000 ,5,31," Craighead County, AR                     ",   Feb-21  ,"55,363","52,881","2,482",4.5
 CN0503300000000 ,5,33," Crawford County, AR                      ",   Feb-21  ,"25,736","24,498","1,238",4.8
 CN0503500000000 ,5,35," Crittenden County, AR                    ",   Feb-21  ,"20,561","19,075","1,486",7.2
 CN0503700000000 ,5,37," Cross County, AR                         ",   Feb-21  ,"7,056","6,629",427,6.1
 CN0503900000000 ,5,39," Dallas County, AR                        ",   Feb-21  ,"2,785","2,649",136,4.9
 CN0504100000000 ,5,41," Desha County, AR                         ",   Feb-21  ,"5,029","4,666",363,7.2
 CN0504300000000 ,5,43," Drew County, AR                          ",   Feb-21  ,"7,602","7,116",486,6.4
 CN0504500000000 ,5,45," Faulkner County, AR                      ",   Feb-21  ,"60,612","57,775","2,837",4.7
 CN0504700000000 ,5,47," Franklin County, AR                      ",   Feb-21  ,"7,227","6,873",354,4.9
 CN0504900000000 ,5,49," Fulton County, AR                        ",   Feb-21  ,"4,820","4,557",263,5.5
 CN0505100000000 ,5,51," Garland County, AR                       ",   Feb-21  ,"40,300","37,481","2,819",7
 CN0505300000000 ,5,53," Grant County, AR                         ",   Feb-21  ,"8,087","7,749",338,4.2
 CN0505500000000 ,5,55," Greene County, AR                        ",   Feb-21  ,"19,296","18,340",956,5
 CN0505700000000 ,5,57," Hempstead County, AR                     ",   Feb-21  ,"9,291","8,864",427,4.6
 CN0505900000000 ,5,59," Hot Spring County, AR                    ",   Feb-21  ,"13,915","13,211",704,5.1
 CN0506100000000 ,5,61," Howard County, AR                        ",   Feb-21  ,"5,531","5,298",233,4.2
 CN0506300000000 ,5,63," Independence County, AR                  ",   Feb-21  ,"16,503","15,650",853,5.2
 CN0506500000000 ,5,65," Izard County, AR                         ",   Feb-21  ,"4,380","4,074",306,7
 CN0506700000000 ,5,67," Jackson County, AR                       ",   Feb-21  ,"5,652","5,231",421,7.4
 CN0506900000000 ,5,69," Jefferson County, AR                     ",   Feb-21  ,"26,625","24,427","2,198",8.3
 CN0507100000000 ,5,71," Johnson County, AR                       ",   Feb-21  ,"9,920","9,333",587,5.9
 CN0507300000000 ,5,73," Lafayette County, AR                     ",   Feb-21  ,"2,353","2,164",189,8
 CN0507500000000 ,5,75," Lawrence County, AR                      ",   Feb-21  ,"6,824","6,442",382,5.6
 CN0507700000000 ,5,77," Lee County, AR                           ",   Feb-21  ,"2,630","2,439",191,7.3
 CN0507900000000 ,5,79," Lincoln County, AR                       ",   Feb-21  ,"3,762","3,538",224,6
 CN0508100000000 ,5,81," Little River County, AR                  ",   Feb-21  ,"5,230","4,909",321,6.1
 CN0508300000000 ,5,83," Logan County, AR                         ",   Feb-21  ,"8,499","8,015",484,5.7
 CN0508500000000 ,5,85," Lonoke County, AR                        ",   Feb-21  ,"32,917","31,424","1,493",4.5
 CN0508700000000 ,5,87," Madison County, AR                       ",   Feb-21  ,"7,302","6,980",322,4.4
 CN0508900000000 ,5,89," Marion County, AR                        ",   Feb-21  ,"6,030","5,653",377,6.3
 CN0509100000000 ,5,91," Miller County, AR                        ",   Feb-21  ,"18,852","17,649","1,203",6.4
 CN0509300000000 ,5,93," Mississippi County, AR                   ",   Feb-21  ,"16,447","14,995","1,452",8.8
 CN0509500000000 ,5,95," Monroe County, AR                        ",   Feb-21  ,"2,635","2,458",177,6.7
 CN0509700000000 ,5,97," Montgomery County, AR                    ",   Feb-21  ,"2,842","2,662",180,6.3
 CN0509900000000 ,5,99," Nevada County, AR                        ",   Feb-21  ,"3,410","3,240",170,5
 CN0510100000000 ,5,101," Newton County, AR                        ",   Feb-21  ,"3,177","3,026",151,4.8
 CN0510300000000 ,5,103," Ouachita County, AR                      ",   Feb-21  ,"9,774","9,285",489,5
 CN0510500000000 ,5,105," Perry County, AR                         ",   Feb-21  ,"4,051","3,839",212,5.2
 CN0510700000000 ,5,107," Phillips County, AR                      ",   Feb-21  ,"6,097","5,494",603,9.9
 CN0510900000000 ,5,109," Pike County, AR                          ",   Feb-21  ,"4,202","3,946",256,6.1
 CN0511100000000 ,5,111," Poinsett County, AR                      ",   Feb-21  ,"9,634","9,122",512,5.3
 CN0511300000000 ,5,113," Polk County, AR                          ",   Feb-21  ,"7,803","7,336",467,6
 CN0511500000000 ,5,115," Pope County, AR                          ",   Feb-21  ,"27,277","25,877","1,400",5.1
 CN0511700000000 ,5,117," Prairie County, AR                       ",   Feb-21  ,"3,499","3,303",196,5.6
 CN0511900000000 ,5,119," Pulaski County, AR                       ",   Feb-21  ,"184,483","172,541","11,942",6.5
 CN0512100000000 ,5,121," Randolph County, AR                      ",   Feb-21  ,"7,413","7,004",409,5.5
 CN0512300000000 ,5,123," St. Francis County, AR                   ",   Feb-21  ,"7,778","7,139",639,8.2
 CN0512500000000 ,5,125," Saline County, AR                        ",   Feb-21  ,"57,475","55,026","2,449",4.3
 CN0512700000000 ,5,127," Scott County, AR                         ",   Feb-21  ,"4,238","4,053",185,4.4
 CN0512900000000 ,5,129," Searcy County, AR                        ",   Feb-21  ,"2,771","2,606",165,6
 CN0513100000000 ,5,131," Sebastian County, AR                     ",   Feb-21  ,"54,295","51,530","2,765",5.1
 CN0513300000000 ,5,133," Sevier County, AR                        ",   Feb-21  ,"5,411","5,090",321,5.9
 CN0513500000000 ,5,135," Sharp County, AR                         ",   Feb-21  ,"5,616","5,216",400,7.1
 CN0513700000000 ,5,137," Stone County, AR                         ",   Feb-21  ,"4,480","4,145",335,7.5
 CN0513900000000 ,5,139," Union County, AR                         ",   Feb-21  ,"15,113","13,965","1,148",7.6
 CN0514100000000 ,5,141," Van Buren County, AR                     ",   Feb-21  ,"5,794","5,393",401,6.9
 CN0514300000000 ,5,143," Washington County, AR                    ",   Feb-21  ,"124,504","119,561","4,943",4
 CN0514500000000 ,5,145," White County, AR                         ",   Feb-21  ,"33,549","31,708","1,841",5.5
 CN0514700000000 ,5,147," Woodruff County, AR                      ",   Feb-21  ,"2,789","2,600",189,6.8
 CN0514900000000 ,5,149," Yell County, AR                          ",   Feb-21  ,"7,824","7,419",405,5.2
 CN0600100000000 ,6,1," Alameda County, CA                       ",   Feb-21  ,"803,818","744,197","59,621",7.4
 CN0600300000000 ,6,3," Alpine County, CA                        ",   Feb-21  ,633,583,50,7.9
 CN0600500000000 ,6,5," Amador County, CA                        ",   Feb-21  ,"14,260","13,018","1,242",8.7
 CN0600700000000 ,6,7," Butte County, CA                         ",   Feb-21  ,"91,715","83,875","7,840",8.5
 CN0600900000000 ,6,9," Calaveras County, CA                     ",   Feb-21  ,"21,104","19,575","1,529",7.2
 CN0601100000000 ,6,11," Colusa County, CA                        ",   Feb-21  ,"10,637","8,710","1,927",18.1
 CN0601300000000 ,6,13," Contra Costa County, CA                  ",   Feb-21  ,"538,047","496,546","41,501",7.7
 CN0601500000000 ,6,15," Del Norte County, CA                     ",   Feb-21  ,"9,216","8,341",875,9.5
 CN0601700000000 ,6,17," El Dorado County, CA                     ",   Feb-21  ,"90,810","84,272","6,538",7.2
 CN0601900000000 ,6,19," Fresno County, CA                        ",   Feb-21  ,"440,303","391,038","49,265",11.2
 CN0602100000000 ,6,21," Glenn County, CA                         ",   Feb-21  ,"12,733","11,648","1,085",8.5
 CN0602300000000 ,6,23," Humboldt County, CA                      ",   Feb-21  ,"57,969","53,380","4,589",7.9
 CN0602500000000 ,6,25," Imperial County, CA                      ",   Feb-21  ,"68,171","56,321","11,850",17.4
 CN0602700000000 ,6,27," Inyo County, CA                          ",   Feb-21  ,"8,086","7,480",606,7.5
 CN0602900000000 ,6,29," Kern County, CA                          ",   Feb-21  ,"380,475","335,183","45,292",11.9
 CN0603100000000 ,6,31," Kings County, CA                         ",   Feb-21  ,"56,428","49,810","6,618",11.7
 CN0603300000000 ,6,33," Lake County, CA                          ",   Feb-21  ,"28,795","26,149","2,646",9.2
 CN0603500000000 ,6,35," Lassen County, CA                        ",   Feb-21  ,"9,185","8,466",719,7.8
 CN0603700000000 ,6,37," Los Angeles County, CA                   ",   Feb-21  ,"4,982,248","4,450,072","532,176",10.7
 CN0603900000000 ,6,39," Madera County, CA                        ",   Feb-21  ,"62,576","55,936","6,640",10.6
 CN0604100000000 ,6,41," Marin County, CA                         ",   Feb-21  ,"127,077","119,943","7,134",5.6
 CN0604300000000 ,6,43," Mariposa County, CA                      ",   Feb-21  ,"6,338","5,588",750,11.8
 CN0604500000000 ,6,45," Mendocino County, CA                     ",   Feb-21  ,"36,323","33,375","2,948",8.1
 CN0604700000000 ,6,47," Merced County, CA                        ",   Feb-21  ,"113,869","98,966","14,903",13.1
 CN0604900000000 ,6,49," Modoc County, CA                         ",   Feb-21  ,"3,054","2,727",327,10.7
 CN0605100000000 ,6,51," Mono County, CA                          ",   Feb-21  ,"8,085","7,362",723,8.9
 CN0605300000000 ,6,53," Monterey County, CA                      ",   Feb-21  ,"199,907","174,711","25,196",12.6
 CN0605500000000 ,6,55," Napa County, CA                          ",   Feb-21  ,"66,848","61,491","5,357",8
 CN0605700000000 ,6,57," Nevada County, CA                        ",   Feb-21  ,"46,440","43,186","3,254",7
 CN0605900000000 ,6,59," Orange County, CA                        ",   Feb-21  ,"1,540,285","1,426,892","113,393",7.4
 CN0606100000000 ,6,61," Placer County, CA                        ",   Feb-21  ,"186,859","175,361","11,498",6.2
 CN0606300000000 ,6,63," Plumas County, CA                        ",   Feb-21  ,"7,185","6,205",980,13.6
 CN0606500000000 ,6,65," Riverside County, CA                     ",   Feb-21  ,"1,126,319","1,028,617","97,702",8.7
 CN0606700000000 ,6,67," Sacramento County, CA                    ",   Feb-21  ,"711,819","652,186","59,633",8.4
 CN0606900000000 ,6,69," San Benito County, CA                    ",   Feb-21  ,"31,981","29,006","2,975",9.3
 CN0607100000000 ,6,71," San Bernardino County, CA                ",   Feb-21  ,"986,432","899,454","86,978",8.8
 CN0607300000000 ,6,73," San Diego County, CA                     ",   Feb-21  ,"1,525,589","1,404,562","121,027",7.9
 CN0607500000000 ,6,75," San Francisco County/city, CA            ",   Feb-21  ,"536,264","502,776","33,488",6.2
 CN0607700000000 ,6,77," San Joaquin County, CA                   ",   Feb-21  ,"334,980","300,082","34,898",10.4
 CN0607900000000 ,6,79," San Luis Obispo County, CA               ",   Feb-21  ,"134,100","125,073","9,027",6.7
 CN0608100000000 ,6,81," San Mateo County, CA                     ",   Feb-21  ,"423,249","399,048","24,201",5.7
 CN0608300000000 ,6,83," Santa Barbara County, CA                 ",   Feb-21  ,"211,254","194,459","16,795",8
 CN0608500000000 ,6,85," Santa Clara County, CA                   ",   Feb-21  ,"1,004,770","945,682","59,088",5.9
 CN0608700000000 ,6,87," Santa Cruz County, CA                    ",   Feb-21  ,"130,649","118,423","12,226",9.4
 CN0608900000000 ,6,89," Shasta County, CA                        ",   Feb-21  ,"72,561","66,290","6,271",8.6
 CN0609100000000 ,6,91," Sierra County, CA                        ",   Feb-21  ,"1,258","1,145",113,9
 CN0609300000000 ,6,93," Siskiyou County, CA                      ",   Feb-21  ,"16,402","14,603","1,799",11
 CN0609500000000 ,6,95," Solano County, CA                        ",   Feb-21  ,"198,057","180,082","17,975",9.1
 CN0609700000000 ,6,97," Sonoma County, CA                        ",   Feb-21  ,"239,561","222,779","16,782",7
 CN0609900000000 ,6,99," Stanislaus County, CA                    ",   Feb-21  ,"238,838","214,936","23,902",10
 CN0610100000000 ,6,101," Sutter County, CA                        ",   Feb-21  ,"44,525","39,374","5,151",11.6
 CN0610300000000 ,6,103," Tehama County, CA                        ",   Feb-21  ,"25,384","23,116","2,268",8.9
 CN0610500000000 ,6,105," Trinity County, CA                       ",   Feb-21  ,"4,322","3,946",376,8.7
 CN0610700000000 ,6,107," Tulare County, CA                        ",   Feb-21  ,"199,558","174,292","25,266",12.7
 CN0610900000000 ,6,109," Tuolumne County, CA                      ",   Feb-21  ,"19,699","17,831","1,868",9.5
 CN0611100000000 ,6,111," Ventura County, CA                       ",   Feb-21  ,"403,026","372,711","30,315",7.5
 CN0611300000000 ,6,113," Yolo County, CA                          ",   Feb-21  ,"105,690","97,703","7,987",7.6
 CN0611500000000 ,6,115," Yuba County, CA                          ",   Feb-21  ,"30,548","27,345","3,203",10.5
 CN0800100000000 ,8,1," Adams County, CO                         ",   Feb-21  ,"273,283","253,691","19,592",7.2
 CN0800300000000 ,8,3," Alamosa County, CO                       ",   Feb-21  ,"8,302","7,752",550,6.6
 CN0800500000000 ,8,5," Arapahoe County, CO                      ",   Feb-21  ,"362,886","338,901","23,985",6.6
 CN0800700000000 ,8,7," Archuleta County, CO                     ",   Feb-21  ,"6,946","6,510",436,6.3
 CN0800900000000 ,8,9," Baca County, CO                          ",   Feb-21  ,"2,015","1,962",53,2.6
 CN0801100000000 ,8,11," Bent County, CO                          ",   Feb-21  ,"1,808","1,691",117,6.5
 CN0801300000000 ,8,13," Boulder County, CO                       ",   Feb-21  ,"192,399","182,197","10,202",5.3
 CN0801400000000 ,8,14," Broomfield County/city, CO               ",   Feb-21  ,"40,756","38,542","2,214",5.4
 CN0801500000000 ,8,15," Chaffee County, CO                       ",   Feb-21  ,"9,724","9,193",531,5.5
 CN0801700000000 ,8,17," Cheyenne County, CO                      ",   Feb-21  ,"1,063","1,031",32,3
 CN0801900000000 ,8,19," Clear Creek County, CO                   ",   Feb-21  ,"5,943","5,568",375,6.3
 CN0802100000000 ,8,21," Conejos County, CO                       ",   Feb-21  ,"3,963","3,726",237,6
 CN0802300000000 ,8,23," Costilla County, CO                      ",   Feb-21  ,"1,812","1,672",140,7.7
 CN0802500000000 ,8,25," Crowley County, CO                       ",   Feb-21  ,"1,432","1,349",83,5.8
 CN0802700000000 ,8,27," Custer County, CO                        ",   Feb-21  ,"2,117","2,006",111,5.2
 CN0802900000000 ,8,29," Delta County, CO                         ",   Feb-21  ,"14,025","13,069",956,6.8
 CN0803100000000 ,8,31," Denver County/city, CO                   ",   Feb-21  ,"422,994","393,939","29,055",6.9
 CN0803300000000 ,8,33," Dolores County, CO                       ",   Feb-21  ,"1,111","1,039",72,6.5
 CN0803500000000 ,8,35," Douglas County, CO                       ",   Feb-21  ,"198,245","188,656","9,589",4.8
 CN0803700000000 ,8,37," Eagle County, CO                         ",   Feb-21  ,"37,262","35,399","1,863",5
 CN0803900000000 ,8,39," Elbert County, CO                        ",   Feb-21  ,"15,149","14,471",678,4.5
 CN0804100000000 ,8,41," El Paso County, CO                       ",   Feb-21  ,"347,745","324,879","22,866",6.6
 CN0804300000000 ,8,43," Fremont County, CO                       ",   Feb-21  ,"15,340","14,088","1,252",8.2
 CN0804500000000 ,8,45," Garfield County, CO                      ",   Feb-21  ,"32,206","30,348","1,858",5.8
 CN0804700000000 ,8,47," Gilpin County, CO                        ",   Feb-21  ,"3,859","3,562",297,7.7
 CN0804900000000 ,8,49," Grand County, CO                         ",   Feb-21  ,"9,893","9,373",520,5.3
 CN0805100000000 ,8,51," Gunnison County, CO                      ",   Feb-21  ,"11,854","11,327",527,4.4
 CN0805300000000 ,8,53," Hinsdale County, CO                      ",   Feb-21  ,371,350,21,5.7
 CN0805500000000 ,8,55," Huerfano County, CO                      ",   Feb-21  ,"2,560","2,302",258,10.1
 CN0805700000000 ,8,57," Jackson County, CO                       ",   Feb-21  ,913,864,49,5.4
 CN0805900000000 ,8,59," Jefferson County, CO                     ",   Feb-21  ,"330,557","310,696","19,861",6
 CN0806100000000 ,8,61," Kiowa County, CO                         ",   Feb-21  ,911,871,40,4.4
 CN0806300000000 ,8,63," Kit Carson County, CO                    ",   Feb-21  ,"4,117","3,977",140,3.4
 CN0806500000000 ,8,65," Lake County, CO                          ",   Feb-21  ,"5,011","4,758",253,5
 CN0806700000000 ,8,67," La Plata County, CO                      ",   Feb-21  ,"30,754","28,552","2,202",7.2
 CN0806900000000 ,8,69," Larimer County, CO                       ",   Feb-21  ,"202,596","190,839","11,757",5.8
 CN0807100000000 ,8,71," Las Animas County, CO                    ",   Feb-21  ,"6,350","5,869",481,7.6
 CN0807300000000 ,8,73," Lincoln County, CO                       ",   Feb-21  ,"2,307","2,184",123,5.3
 CN0807500000000 ,8,75," Logan County, CO                         ",   Feb-21  ,"10,853","10,297",556,5.1
 CN0807700000000 ,8,77," Mesa County, CO                          ",   Feb-21  ,"76,355","70,971","5,384",7.1
 CN0807900000000 ,8,79," Mineral County, CO                       ",   Feb-21  ,529,497,32,6
 CN0808100000000 ,8,81," Moffat County, CO                        ",   Feb-21  ,"7,252","6,787",465,6.4
 CN0808300000000 ,8,83," Montezuma County, CO                     ",   Feb-21  ,"12,439","11,441",998,8
 CN0808500000000 ,8,85," Montrose County, CO                      ",   Feb-21  ,"21,692","20,339","1,353",6.2
 CN0808700000000 ,8,87," Morgan County, CO                        ",   Feb-21  ,"15,885","15,002",883,5.6
 CN0808900000000 ,8,89," Otero County, CO                         ",   Feb-21  ,"8,132","7,577",555,6.8
 CN0809100000000 ,8,91," Ouray County, CO                         ",   Feb-21  ,"2,489","2,340",149,6
 CN0809300000000 ,8,93," Park County, CO                          ",   Feb-21  ,"11,097","10,541",556,5
 CN0809500000000 ,8,95," Phillips County, CO                      ",   Feb-21  ,"2,326","2,245",81,3.5
 CN0809700000000 ,8,97," Pitkin County, CO                        ",   Feb-21  ,"11,014","10,376",638,5.8
 CN0809900000000 ,8,99," Prowers County, CO                       ",   Feb-21  ,"6,063","5,745",318,5.2
 CN0810100000000 ,8,101," Pueblo County, CO                        ",   Feb-21  ,"77,047","70,304","6,743",8.8
 CN0810300000000 ,8,103," Rio Blanco County, CO                    ",   Feb-21  ,"2,835","2,637",198,7
 CN0810500000000 ,8,105," Rio Grande County, CO                    ",   Feb-21  ,"5,338","4,901",437,8.2
 CN0810700000000 ,8,107," Routt County, CO                         ",   Feb-21  ,"16,172","15,396",776,4.8
 CN0810900000000 ,8,109," Saguache County, CO                      ",   Feb-21  ,"3,359","3,113",246,7.3
 CN0811100000000 ,8,111," San Juan County, CO                      ",   Feb-21  ,520,491,29,5.6
 CN0811300000000 ,8,113," San Miguel County, CO                    ",   Feb-21  ,"6,030","5,726",304,5
 CN0811500000000 ,8,115," Sedgwick County, CO                      ",   Feb-21  ,"1,120","1,073",47,4.2
 CN0811700000000 ,8,117," Summit County, CO                        ",   Feb-21  ,"24,339","23,296","1,043",4.3
 CN0811900000000 ,8,119," Teller County, CO                        ",   Feb-21  ,"12,962","12,189",773,6
 CN0812100000000 ,8,121," Washington County, CO                    ",   Feb-21  ,"2,693","2,589",104,3.9
 CN0812300000000 ,8,123," Weld County, CO                          ",   Feb-21  ,"164,098","152,935","11,163",6.8
 CN0812500000000 ,8,125," Yuma County, CO                          ",   Feb-21  ,"5,323","5,142",181,3.4
 CN0900100000000 ,9,1," Fairfield County, CT                     ",   Feb-21  ,"453,898","418,566","35,332",7.8
 CN0900300000000 ,9,3," Hartford County, CT                      ",   Feb-21  ,"467,463","430,427","37,036",7.9
 CN0900500000000 ,9,5," Litchfield County, CT                    ",   Feb-21  ,"99,917","92,476","7,441",7.4
 CN0900700000000 ,9,7," Middlesex County, CT                     ",   Feb-21  ,"90,371","84,382","5,989",6.6
 CN0900900000000 ,9,9," New Haven County, CT                     ",   Feb-21  ,"447,159","411,584","35,575",8
 CN0901100000000 ,9,11," New London County, CT                    ",   Feb-21  ,"127,165","116,043","11,122",8.7
 CN0901300000000 ,9,13," Tolland County, CT                       ",   Feb-21  ,"83,705","78,227","5,478",6.5
 CN0901500000000 ,9,15," Windham County, CT                       ",   Feb-21  ,"61,029","56,211","4,818",7.9
 CN1000100000000 ,10,1," Kent County, DE                          ",   Feb-21  ,"81,154","75,655","5,499",6.8
 CN1000300000000 ,10,3," New Castle County, DE                    ",   Feb-21  ,"305,165","287,010","18,155",5.9
 CN1000500000000 ,10,5," Sussex County, DE                        ",   Feb-21  ,"106,982","100,581","6,401",6
 CN1100100000000 ,11,1, District of Columbia                     ,   Feb-21  ,"377,008","352,271","24,737",6.6
 CN1200100000000 ,12,1," Alachua County, FL                       ",   Feb-21  ,"137,800","131,625","6,175",4.5
 CN1200300000000 ,12,3," Baker County, FL                         ",   Feb-21  ,"11,849","11,341",508,4.3
 CN1200500000000 ,12,5," Bay County, FL                           ",   Feb-21  ,"84,157","80,009","4,148",4.9
 CN1200700000000 ,12,7," Bradford County, FL                      ",   Feb-21  ,"10,707","10,178",529,4.9
 CN1200900000000 ,12,9," Brevard County, FL                       ",   Feb-21  ,"285,958","271,424","14,534",5.1
 CN1201100000000 ,12,11," Broward County, FL                       ",   Feb-21  ,"1,014,118","952,636","61,482",6.1
 CN1201300000000 ,12,13," Calhoun County, FL                       ",   Feb-21  ,"4,862","4,618",244,5
 CN1201500000000 ,12,15," Charlotte County, FL                     ",   Feb-21  ,"72,742","69,125","3,617",5
 CN1201700000000 ,12,17," Citrus County, FL                        ",   Feb-21  ,"47,302","44,142","3,160",6.7
 CN1201900000000 ,12,19," Clay County, FL                          ",   Feb-21  ,"105,842","101,366","4,476",4.2
 CN1202100000000 ,12,21," Collier County, FL                       ",   Feb-21  ,"180,335","172,806","7,529",4.2
 CN1202300000000 ,12,23," Columbia County, FL                      ",   Feb-21  ,"29,212","27,673","1,539",5.3
 CN1202700000000 ,12,27," DeSoto County, FL                        ",   Feb-21  ,"14,516","13,840",676,4.7
 CN1202900000000 ,12,29," Dixie County, FL                         ",   Feb-21  ,"6,028","5,719",309,5.1
 CN1203100000000 ,12,31," Duval County, FL                         ",   Feb-21  ,"484,458","458,321","26,137",5.4
 CN1203300000000 ,12,33," Escambia County, FL                      ",   Feb-21  ,"143,839","135,901","7,938",5.5
 CN1203500000000 ,12,35," Flagler County, FL                       ",   Feb-21  ,"47,548","44,952","2,596",5.5
 CN1203700000000 ,12,37," Franklin County, FL                      ",   Feb-21  ,"4,560","4,346",214,4.7
 CN1203900000000 ,12,39," Gadsden County, FL                       ",   Feb-21  ,"18,933","17,680","1,253",6.6
 CN1204100000000 ,12,41," Gilchrist County, FL                     ",   Feb-21  ,"7,212","6,884",328,4.5
 CN1204300000000 ,12,43," Glades County, FL                        ",   Feb-21  ,"5,119","4,890",229,4.5
 CN1204500000000 ,12,45," Gulf County, FL                          ",   Feb-21  ,"5,172","4,916",256,4.9
 CN1204700000000 ,12,47," Hamilton County, FL                      ",   Feb-21  ,"4,124","3,829",295,7.2
 CN1204900000000 ,12,49," Hardee County, FL                        ",   Feb-21  ,"8,961","8,485",476,5.3
 CN1205100000000 ,12,51," Hendry County, FL                        ",   Feb-21  ,"15,646","14,650",996,6.4
 CN1205300000000 ,12,53," Hernando County, FL                      ",   Feb-21  ,"72,223","67,904","4,319",6
 CN1205500000000 ,12,55," Highlands County, FL                     ",   Feb-21  ,"35,014","32,703","2,311",6.6
 CN1205700000000 ,12,57," Hillsborough County, FL                  ",   Feb-21  ,"757,979","719,203","38,776",5.1
 CN1205900000000 ,12,59," Holmes County, FL                        ",   Feb-21  ,"6,876","6,528",348,5.1
 CN1206100000000 ,12,61," Indian River County, FL                  ",   Feb-21  ,"64,790","61,303","3,487",5.4
 CN1206300000000 ,12,63," Jackson County, FL                       ",   Feb-21  ,"17,239","16,271",968,5.6
 CN1206500000000 ,12,65," Jefferson County, FL                     ",   Feb-21  ,"5,522","5,243",279,5.1
 CN1206700000000 ,12,67," Lafayette County, FL                     ",   Feb-21  ,"2,823","2,693",130,4.6
 CN1206900000000 ,12,69," Lake County, FL                          ",   Feb-21  ,"153,768","145,065","8,703",5.7
 CN1207100000000 ,12,71," Lee County, FL                           ",   Feb-21  ,"352,544","335,215","17,329",4.9
 CN1207300000000 ,12,73," Leon County, FL                          ",   Feb-21  ,"152,882","145,056","7,826",5.1
 CN1207500000000 ,12,75," Levy County, FL                          ",   Feb-21  ,"16,718","15,835",883,5.3
 CN1207700000000 ,12,77," Liberty County, FL                       ",   Feb-21  ,"2,610","2,483",127,4.9
 CN1207900000000 ,12,79," Madison County, FL                       ",   Feb-21  ,"7,639","7,203",436,5.7
 CN1208100000000 ,12,81," Manatee County, FL                       ",   Feb-21  ,"179,329","170,995","8,334",4.6
 CN1208300000000 ,12,83," Marion County, FL                        ",   Feb-21  ,"141,808","133,587","8,221",5.8
 CN1208500000000 ,12,85," Martin County, FL                        ",   Feb-21  ,"72,582","69,528","3,054",4.2
 CN1208600000000 ,12,86," Miami-Dade County, FL                    ",   Feb-21  ,"1,301,452","1,215,549","85,903",6.6
 CN1208700000000 ,12,87," Monroe County, FL                        ",   Feb-21  ,"44,659","42,962","1,697",3.8
 CN1208900000000 ,12,89," Nassau County, FL                        ",   Feb-21  ,"41,961","40,206","1,755",4.2
 CN1209100000000 ,12,91," Okaloosa County, FL                      ",   Feb-21  ,"96,636","92,613","4,023",4.2
 CN1209300000000 ,12,93," Okeechobee County, FL                    ",   Feb-21  ,"17,498","16,698",800,4.6
 CN1209500000000 ,12,95," Orange County, FL                        ",   Feb-21  ,"716,622","670,591","46,031",6.4
 CN1209700000000 ,12,97," Osceola County, FL                       ",   Feb-21  ,"179,986","166,230","13,756",7.6
 CN1209900000000 ,12,99," Palm Beach County, FL                    ",   Feb-21  ,"722,233","685,087","37,146",5.1
 CN1210100000000 ,12,101," Pasco County, FL                         ",   Feb-21  ,"241,909","229,307","12,602",5.2
 CN1210300000000 ,12,103," Pinellas County, FL                      ",   Feb-21  ,"477,570","454,526","23,044",4.8
 CN1210500000000 ,12,105," Polk County, FL                          ",   Feb-21  ,"324,879","304,353","20,526",6.3
